 332222 265897  691.07204   78  697  673.00000  701.62350  4.25%   207 1624s
 333305 266891  687.13338   94  641  673.00000  701.61975  4.25%   207 1630s
 334497 268011  699.81567   52  734  673.00000  701.61252  4.25%   207 1636s
 335786 269103  691.41171   75  705  673.00000  701.60856  4.25%   207 1642s
 337024 269930  679.47067  123  583  673.00000  701.60526  4.25%   207 1648s
 337980 270690  693.12664   74  678  673.00000  701.60160  4.25%   207 1655s
 338740 272245  678.49511  122  492  673.00000  701.60112  4.25%   208 1662s
 340381 273547  699.16763   55  754  673.00000  701.60112  4.25%   208 1668s
 341944 274649  689.66676   81  685  673.00000  701.59408  4.25%   208 1675s
 343297 275716  698.91356   54  735  673.00000  701.59074  4.25%   208 1681s
 344505 276726  690.27403   81  666  673.00000  701.58711  4.25%   208 1686s
 345684 277609  700.43826   52  757  673.00000  701.58391  4.25%   208 1692s
 346683 278579  695.98700   55  748  673.00000  701.58051  4.25%   208 1698s
 347797 279427  696.76818   59  732  673.00000  701.57946  4.25%   208 1704s
 348756 280048  699.27000   50  727  673.00000  701.57560  4.25%   208 1710s
 349377 281543  693.60858   71  717  673.00000  701.57560  4.25%   208 1717s
 350963 282899  685.10411   97  629  673.00000  701.57518  4.25%   209 1724s
 352531 283745  687.57785   81  654  673.00000  701.57065  4.25%   209 1728s
 353523 284646  677.08223  117  543  673.00000  701.56605  4.24%   208 1733s
 354568 285552  699.02799   52  741  673.00000  701.56119  4.24%   208 1739s
 355610 286384  696.62052   58  703  673.00000  701.55603  4.24%   208 1745s
 356540 287367  693.98214   65  713  673.00000  701.55290  4.24%   208 1751s
 357666 288389  700.39112   51  779  673.00000  701.55000  4.24%   208 1757s
 358896 289269  698.88799   58  740  673.00000  701.54560  4.24%   208 1763s
 359921 290291  698.01892   54  766  673.00000  701.54240  4.24%   208 1769s
 361132 291381  691.73603   69  723  673.00000  701.53963  4.24%   209 1775s
 362413 292395  698.59375   57  741  673.00000  701.53427  4.24%   208 1781s
 363590 293300  695.42066   70  726  673.00000  701.53030  4.24%   208 1787s
 364615 294170  696.52327   57  731  673.00000  701.52695  4.24%   209 1793s
 365485 295942  686.72237   92  643  673.00000  701.52620  4.24%   209 1801s
 367424 297040  698.40780   57  737  673.00000  701.52262  4.24%   209 1807s
 368678 298144  691.56053   75  676  673.00000  701.52020  4.24%   209 1813s
 370029 299127  699.26203   50  729  673.00000  701.51537  4.24%   209 1819s
 371159 300385  694.33027   75  718  673.00000  701.51250  4.24%   209 1826s
 372579 301424  700.33570   52  732  673.00000  701.50592  4.24%   209 1831s
 373839 302338  694.85679   64  744  673.00000  701.50275  4.24%   209 1837s
 374922 303265  695.93310   59  714  673.00000  701.49829  4.23%   209 1845s
 375951 304367  675.29198  100  532  673.00000  701.49734  4.23%   209 1851s
 377252 305436  696.25265   67  749  673.00000  701.49300  4.23%   209 1857s
 378593 306538     cutoff  120       673.00000  701.48823  4.23%   209 1863s
 379949 307593  693.98758   69  712  673.00000  701.48452  4.23%   209 1870s
 381189 308747  682.46903  109  568  673.00000  701.48114  4.23%   209 1876s
 382496 309549  695.95712   61  697  673.00000  701.47856  4.23%   209 1882s
 383463 310505  697.08179   61  732  673.00000  701.47555  4.23%   209 1889s
 384428 311989  688.90561   85  684  673.00000  701.47555  4.23%   210 1896s
 386013 312520  679.66478  120  602  673.00000  701.47523  4.23%   210 1902s
 386647 313319  696.90541   61  717  673.00000  701.47441  4.23%   210 1908s
 387564 314099  698.62857   54  754  673.00000  701.47312  4.23%   210 1915s
 388344 315858  692.17444   74  701  673.00000  701.47204  4.23%   210 1924s
 390208 317150  699.20743   50  765  673.00000  701.47176  4.23%   211 1931s
 391657 318175  689.48551   82  662  673.00000  701.46833  4.23%   211 1938s
 392879 319392  698.51507   63  729  673.00000  701.46279  4.23%   211 1944s
 394270 320354  683.18782  103  621  673.00000  701.45956  4.23%   211 1951s
 395354 321250  694.12667   63  705  673.00000  701.45817  4.23%   211 1958s
 396280 322956  681.00872  112  561  673.00000  701.45739  4.23%   211 1965s
 398093 324017  699.13595   50  733  673.00000  701.45739  4.23%   211 1972s
 399327 325151  693.00013   66  723  673.00000  701.45739  4.23%   211 1978s
 400559 326301  678.73317  114  533  673.00000  701.45341  4.23%   211 1985s
 401909 327256  691.82034   75  718  673.00000  701.44896  4.23%   211 1991s
 403020 328489  685.27634  105  682  673.00000  701.44478  4.23%   211 1997s
 404476 329468  693.76343   72  650  673.00000  701.44207  4.23%   211 2003s
 405614 330569  699.87696   50  714  673.00000  701.43924  4.23%   211 2009s
 406896 331493  679.41979   89  580  673.00000  701.43807  4.23%   211 2015s
 407960 332570  695.69198   61  721  673.00000  701.43333  4.22%   211 2021s
 409221 333561  693.85192   66  736  673.00000  701.42999  4.22%   211 2028s
 410360 334599     cutoff  129       673.00000  701.42548  4.22%   211 2034s
 411541 335515  697.83443   58  735  673.00000  701.42529  4.22%   212 2040s
 412593 336358  692.54704   71  698  673.00000  701.42529  4.22%   212 2047s
 413477 337988  683.71317  103  609  673.00000  701.42428  4.22%   212 2054s
 415231 339050  700.57124   56  776  673.00000  701.41823  4.22%   212 2061s
