 563311 468479  472.89749   53  301  443.00000  475.70392  7.38%   111  591s
 567282 471694  459.51250   94  308  443.00000  475.69315  7.38%   111  595s
 572143 475931  470.19903   50  299  443.00000  475.68333  7.38%   111  600s
 576813 480000  469.62113   56  303  443.00000  475.67172  7.38%   111  605s
 580869 483347  470.55556   65  297  443.00000  475.66667  7.37%   111  610s
 584477 487153  445.50000  154  122  443.00000  475.66667  7.37%   111  615s
 589186 490677  472.91053   53  286  443.00000  475.65883  7.37%   111  621s
 592858 494382  471.59607   60  311  443.00000  475.65854  7.37%   111  625s
 598025 499099  457.31405  102  221  443.00000  475.64322  7.37%   111  631s
 602572 502796  444.84810   92  174  443.00000  475.63235  7.37%   111  636s
 605993 506146     cutoff  149       443.00000  475.62521  7.36%   111  640s
 611286 510313  446.84341  124  235  443.00000  475.61609  7.36%   111  645s
 615873 513992  471.91518   51  302  443.00000  475.61048  7.36%   111  651s
 619822 518107  468.56250   66  288  443.00000  475.60090  7.36%   111  656s
 623977 521385  455.09176  102  280  443.00000  475.59785  7.36%   112  660s
 628999 526042  464.69351   73  288  443.00000  475.59005  7.36%   112  666s
 632825 529344  469.94223   55  323  443.00000  475.58611  7.36%   112  670s
 637564 533369  461.57143   88  239  443.00000  475.58227  7.35%   112  675s
 642209 537481  464.10014   83  289  443.00000  475.57162  7.35%   112  680s
 646706 541781  446.85686  144  127  443.00000  475.56623  7.35%   112  685s
 650840 545140  444.75000  137  131  443.00000  475.55992  7.35%   112  690s
 655649 549333  463.74980   73  273  443.00000  475.55025  7.35%   112  695s
 656768 549375  463.66667   62  276  443.00000  475.54902  7.35%   112  703s
 658027 551383  469.25000   57  271  443.00000  475.54719  7.35%   112  705s
 662013 555010  462.96102   72  271  443.00000  475.54020  7.35%   112  710s
 667448 559612  471.39286   51  294  443.00000  475.52500  7.34%   112  715s
 671134 562877  470.36332   52  302  443.00000  475.51651  7.34%   112  720s
 676625 567865  469.45833   66  301  443.00000  475.50462  7.34%   112  726s
 681012 571169  471.97446   61  292  443.00000  475.50000  7.34%   112  730s
 685275 574949  444.85693  151  179  443.00000  475.50000  7.34%   112  735s
 689210 578689  465.69241   69  267  443.00000  475.50000  7.34%   113  740s
 694506 583465  455.05345  100  190  443.00000  475.50000  7.34%   113  746s
 698678 586964  471.52778   56  264  443.00000  475.50000  7.34%   113  750s
 703622 591487  459.47500   85  235  443.00000  475.49165  7.33%   113  756s
 707574 594798  450.68750  112  138  443.00000  475.48788  7.33%   113  760s
 712680 599441  463.41340   77  290  443.00000  475.47917  7.33%   113  766s
 716354 602511  464.79702   77  303  443.00000  475.47529  7.33%   113  770s
 720374 605908  469.49160   57  312  443.00000  475.46991  7.33%   113  775s
 725799 610331  463.85714   64  293  443.00000  475.46201  7.33%   113  780s
 729930 614220  470.13786   65  284  443.00000  475.45854  7.33%   113  785s
 734950 618291  450.18214  139  154  443.00000  475.45270  7.33%   113  790s
 738476 621563  462.16667   90  240  443.00000  475.45000  7.33%   113  795s
 743823 626074  446.70191  128  229  443.00000  475.43913  7.32%   113  800s
 747847 629490  462.54762   86  297  443.00000  475.42857  7.32%   114  805s
 752786 633786  469.97156   58  295  443.00000  475.42042  7.32%   114  810s
 758124 638331  463.54150   70  306  443.00000  475.41667  7.32%   114  815s
 763369 642892  447.31786  122  235  443.00000  475.40769  7.32%   114  821s
 767283 646664  449.46854  115  177  443.00000  475.40298  7.31%   114  826s
 771477 650158  463.60566   64  265  443.00000  475.39286  7.31%   114  830s
 777017 654754  461.22336   82  302  443.00000  475.38663  7.31%   114  835s
 781078 658196  457.28374   81  244  443.00000  475.37871  7.31%   114  840s
 786157 662485  465.75000   70  241  443.00000  475.37386  7.31%   114  845s
 791268 667082  447.77169  114  143  443.00000  475.36667  7.31%   114  851s
 795377 670189  472.82308   53  316  443.00000  475.36177  7.31%   114  855s
 800276 675172  446.00676  147  124  443.00000  475.35780  7.30%   114  861s
 804112 678189  452.55256  126  243  443.00000  475.35025  7.30%   114  865s
 808569 682563  458.98889   91  272  443.00000  475.34615  7.30%   114  871s
 812990 686141  467.45851   55  305  443.00000  475.34206  7.30%   114  876s
 816777 689777  473.21265   54  327  443.00000  475.33554  7.30%   114  880s
 821846 693930  452.87566  100  259  443.00000  475.33333  7.30%   114  885s
 826402 697800  466.97611   59  274  443.00000  475.32698  7.30%   114  890s
 828987 700033  457.92593   90  294  443.00000  475.32586  7.30%   114  895s
 834145 704459  470.90789   50  291  443.00000  475.31332  7.29%   114  900s
 839298 708878  472.50112   53  316  443.00000  475.30819  7.29%   114  906s
 842950 712020  463.24286   76  266  443.00000  475.30337  7.29%   114  910s
